,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,N1,Unkn,1,,35.8344192580395,0,0,NaN,NaN,0,0,55,
,A02,FAM,N1,Unkn,9,,NaN,0,0,NaN,NaN,0,0,55,
,A03,FAM,N1,Unkn,17,,36.0886932589368,0,0,NaN,NaN,0,0,55,
,A04,FAM,N1,Unkn,25,,42,0,0,NaN,NaN,0,0,55,
,A05,FAM,N1,Unkn,33,,34,0,0,NaN,NaN,0,0,55,
,A06,FAM,N1,Unkn,41,,26.0531025152792,0,0,NaN,NaN,0,0,55,
,A07,FAM,N1,Unkn,49,,NaN,0,0,NaN,NaN,0,0,55,
,A08,FAM,N1,Unkn,57,,NaN,0,0,NaN,NaN,0,0,55,
,A09,FAM,RdRp,Unkn,1,,NaN,0,0,NaN,NaN,0,0,55,
,A10,FAM,RdRp,Unkn,9,,25.0014248941963,0,0,NaN,NaN,0,0,55,
,A11,FAM,RdRp,Unkn,17,,NaN,0,0,NaN,NaN,0,0,55,
,A12,FAM,RdRp,Unkn,25,,12,0,0,NaN,NaN,0,0,55,
,A13,FAM,RdRp,Unkn,33,,29.5607432378561,0,0,NaN,NaN,0,0,55,
,A14,FAM,RdRp,Unkn,41,,27.0100552163233,0,0,NaN,NaN,0,0,55,
,A15,FAM,RdRp,Unkn,49,,NaN,0,0,NaN,NaN,0,0,55,
,A16,FAM,RdRp,Unkn,57,,NaN,0,0,NaN,NaN,0,0,55,
,A17,FAM,RNAseP,Unkn,1,,23.2661910663516,23.2661910663516,0,NaN,NaN,NaN,0,55,
,A18,FAM,RNAseP,Unkn,9,,23.6789234277231,23.6789234277231,0,NaN,NaN,NaN,0,55,
,A19,FAM,RNAseP,Unkn,17,,23.3440198601536,23.3440198601536,0,NaN,NaN,NaN,0,55,
,A20,FAM,RNAseP,Unkn,25,,24.0128665062935,24.0128665062935,0,NaN,NaN,NaN,0,55,
,A21,FAM,RNAseP,Unkn,33,,25.3490261582464,25.3490261582464,0,NaN,NaN,NaN,0,55,
,A22,FAM,RNAseP,Unkn,41,,NaN,0,0,NaN,NaN,0,0,55,
,A23,FAM,RNAseP,Unkn,49,,NaN,0,0,NaN,NaN,0,0,55,
,A24,FAM,RNAseP,Unkn,57,,NaN,0,0,NaN,NaN,0,0,55,
,B01,FAM,N1,Unkn,1,,39,0,0,NaN,NaN,0,0,55,
,B02,FAM,N1,Unkn,9,,NaN,0,0,NaN,NaN,0,0,55,
,B03,FAM,N1,Unkn,17,,38,0,0,NaN,NaN,0,0,55,
,B04,FAM,N1,Unkn,25,,42.5,0,0,NaN,NaN,0,0,55,
,B05,FAM,N1,Unkn,33,,18,0,0,NaN,NaN,0,0,55,
,B06,FAM,N1,Unkn,41,,26.0531025152792,0,0,NaN,NaN,0,0,55,
,B07,FAM,N1,Unkn,49,,NaN,0,0,NaN,NaN,0,0,55,
,B08,FAM,N1,Unkn,57,,NaN,0,0,NaN,NaN,0,0,55,
,B09,FAM,RdRp,Unkn,1,,NaN,0,0,NaN,NaN,0,0,55,
,B10,FAM,RdRp,Unkn,9,,26.0531025152792,0,0,NaN,NaN,0,0,55,
,B11,FAM,RdRp,Unkn,17,,NaN,0,0,NaN,NaN,0,0,55,
,B12,FAM,RdRp,Unkn,25,,30.5969854582704,0,0,NaN,NaN,0,0,55,
,B13,FAM,RdRp,Unkn,33,,14,0,0,NaN,NaN,0,0,55,
,B14,FAM,RdRp,Unkn,41,,27.0100552163233,0,0,NaN,NaN,0,0,55,
,B15,FAM,RdRp,Unkn,49,,NaN,0,0,NaN,NaN,0,0,55,
,B16,FAM,RdRp,Unkn,57,,NaN,0,0,NaN,NaN,0,0,55,
,B17,FAM,RNAseP,Unkn,1,,23.1653051965654,23.1653051965654,0,NaN,NaN,NaN,0,55,
,B18,FAM,RNAseP,Unkn,9,,23.984266665324,23.984266665324,0,NaN,NaN,NaN,0,55,
,B19,FAM,RNAseP,Unkn,17,,23.2952536990134,23.2952536990134,0,NaN,NaN,NaN,0,55,
,B20,FAM,RNAseP,Unkn,25,,24.1648641795322,24.1648641795322,0,NaN,NaN,NaN,0,55,
,B21,FAM,RNAseP,Unkn,33,,25.4504807761651,25.4504807761651,0,NaN,NaN,NaN,0,55,
,B22,FAM,RNAseP,Unkn,41,,NaN,0,0,NaN,NaN,0,0,55,
,B23,FAM,RNAseP,Unkn,49,,NaN,0,0,NaN,NaN,0,0,55,
,B24,FAM,RNAseP,Unkn,57,,NaN,0,0,NaN,NaN,0,0,55,
,C01,FAM,N1,Unkn,2,,NaN,0,0,NaN,NaN,0,0,55,
,C02,FAM,N1,Unkn,10,,NaN,0,0,NaN,NaN,0,0,55,
,C03,FAM,N1,Unkn,18,,NaN,0,0,NaN,NaN,0,0,55,
,C04,FAM,N1,Unkn,26,,NaN,0,0,NaN,NaN,0,0,55,
,C05,FAM,N1,Unkn,34,,NaN,0,0,NaN,NaN,0,0,55,
,C06,FAM,N1,Unkn,42,,NaN,0,0,NaN,NaN,0,0,55,
,C07,FAM,N1,Unkn,50,,NaN,0,0,NaN,NaN,0,0,55,
,C08,FAM,N1,Unkn,58,,NaN,0,0,NaN,NaN,0,0,55,
,C09,FAM,RdRp,Unkn,2,,NaN,0,0,NaN,NaN,0,0,55,
,C10,FAM,RdRp,Unkn,10,,NaN,0,0,NaN,NaN,0,0,55,
,C11,FAM,RdRp,Unkn,18,,NaN,0,0,NaN,NaN,0,0,55,
,C12,FAM,RdRp,Unkn,26,,NaN,0,0,NaN,NaN,0,0,55,
,C13,FAM,RdRp,Unkn,34,,NaN,0,0,NaN,NaN,0,0,55,
,C14,FAM,RdRp,Unkn,42,,NaN,0,0,NaN,NaN,0,0,55,
,C15,FAM,RdRp,Unkn,50,,NaN,0,0,NaN,NaN,0,0,55,
,C16,FAM,RdRp,Unkn,58,,NaN,0,0,NaN,NaN,0,0,55,
,C17,FAM,RNAseP,Unkn,2,,22.5566052264614,22.5566052264614,0,NaN,NaN,NaN,0,55,
,C18,FAM,RNAseP,Unkn,10,,26.2596720981579,26.2596720981579,0,NaN,NaN,NaN,0,55,
,C19,FAM,RNAseP,Unkn,18,,23.0821440213288,23.0821440213288,0,NaN,NaN,NaN,0,55,
,C20,FAM,RNAseP,Unkn,26,,25.1251480439019,25.1251480439019,0,NaN,NaN,NaN,0,55,
,C21,FAM,RNAseP,Unkn,34,,23.8623250160862,23.8623250160862,0,NaN,NaN,NaN,0,55,
,C22,FAM,RNAseP,Unkn,42,,NaN,0,0,NaN,NaN,0,0,55,
,C23,FAM,RNAseP,Unkn,50,,NaN,0,0,NaN,NaN,0,0,55,
,C24,FAM,RNAseP,Unkn,58,,NaN,0,0,NaN,NaN,0,0,55,
,D01,FAM,N1,Unkn,2,,NaN,0,0,NaN,NaN,0,0,55,
,D02,FAM,N1,Unkn,10,,NaN,0,0,NaN,NaN,0,0,55,
,D03,FAM,N1,Unkn,18,,NaN,0,0,NaN,NaN,0,0,55,
,D04,FAM,N1,Unkn,26,,NaN,0,0,NaN,NaN,0,0,55,
,D05,FAM,N1,Unkn,34,,NaN,0,0,NaN,NaN,0,0,55,
