,Temperature,A8,A9,A12,B8,B9,C11,C8,C9,D11,D8,D9,E8,E9,F8,F9,G8,H8,B12
,65,4869.61170577,4602.9930208251,2128.29634481045,4698.34612809238,4508.81924614701,4243.23298537883,4841.00695786861,4525.26386120094,3632.22277321227,4764.17114628654,4571.5475467122,4820.17368810002,4451.7072187538,4522.50864379256,4502.59217834045,4711.28399374537,4496.50362330958,2011.94238640811
,65.5,4850.68884799579,4585.77808929369,2126.19132027293,4684.79490280669,4491.28467090361,4224.38924285146,4826.65537810614,4509.70782545867,3618.42247799165,4748.02598227286,4555.89292225832,4793.67946308988,4437.39841658039,4511.1292004073,4489.58055028019,4698.7579275551,4479.2313002619,2012.01762140118
,66,4831.76599022158,4568.56315776228,2124.08629573541,4671.24367752099,4473.7500956602,4205.5455003241,4812.30379834367,4494.1517897164,3604.62218277103,4731.88081825919,4540.23829780443,4767.18523807974,4423.08961440699,4499.74975702204,4476.56892221994,4686.23186136482,4461.95897721422,2012.09285639424
,66.5,4812.84313244737,4551.34822623087,2121.98127119789,4657.69245223529,4456.2155204168,4186.70175779673,4797.9522185812,4478.59575397414,3590.8218875504,4715.73565424551,4524.58367335055,4740.69101306959,4408.78081223358,4488.37031363678,4463.55729415968,4673.70579517455,4444.68665416654,2012.16809138731
,67,4793.92027467316,4534.13329469945,2119.87624666037,4644.14122694959,4438.6809451734,4167.85801526936,4783.60063881872,4463.03971823187,3577.02159232978,4699.59049023183,4508.92904889666,4714.19678805945,4394.47201006017,4476.99087025152,4450.54566609943,4661.17972898428,4427.41433111886,2012.24332638038
,67.5,4774.9974168989,4516.91836316811,2117.77122212282,4630.59000166388,4421.14636993004,4149.01427274194,4769.24905905625,4447.48368248956,3563.22129710916,4683.44532621812,4493.27442444271,4687.70256304939,4380.16320788679,4465.61142686628,4437.53403803909,4648.65366279399,4410.14200807121,2012.31856137343
,68,4756.07455912469,4499.7034316367,2115.6661975853,4617.03877637818,4403.61179468664,4130.17053021457,4754.89747929378,4431.92764674729,3549.42100188854,4667.30016220444,4477.61979998883,4661.20833803925,4365.85440571338,4454.23198348102,4424.52240997884,4636.12759660372,4392.86968502353,2012.3937963665
,68.5,4730.45617317263,4476.61001383362,2113.19589185435,4596.72003499258,4379.51674323671,4108.78280961176,4733.10392662112,4410.86563430147,3534.03663858937,4644.40455206453,4455.37005209211,4627.81002156461,4345.88029146607,4435.4380693457,4405.17783909081,4615.97290524006,4369.77745364533,2012.37260959309
,69,4698.96717572532,4448.83714977082,2110.72303748444,4570.33902046185,4350.19043822369,4084.6870790612,4704.35281745086,4384.98566129272,3516.75590237536,4615.74714537121,4427.8476386201,4589.76208883372,4321.13363053353,4410.53418140464,4380.4106181666,4589.40575187329,4342.19899432253,2012.3858557526
,69.5,4662.65263118774,4417.04651330138,2107.80433324263,4538.21054309322,4316.927198804,4058.57456114209,4669.45841600084,4355.08692776167,3497.77980944399,4582.05422277362,4396.50844817447,4548.41377960349,4292.43205481817,4380.6442954765,4351.3898509641,4557.74405009271,4311.17143925979,2012.14896258968
,70,4623.09969173511,4381.94000819674,2105.12791833528,4501.98441652243,4281.0064428501,4030.74877617784,4630.46434984554,4322.28556966859,3477.13406653342,4544.2469324146,4362.00107756359,4505.08015267288,4260.99457896506,4346.5797361221,4318.94071775571,4522.72103022006,4277.47066863764,2012.29714737548
,70.5,4580.83729482013,4344.35938403685,2102.56932555593,4462.50676289302,4243.30995888572,4001.60167543081,4588.05895351794,4287.26832957354,3455.026554968,4503.11739145435,4325.53988151879,4461.39030364385,4227.46965174049,4309.42759734558,4283.92849254004,4484.88156749054,4241.85054454398,2012.59134810005
,71,4536.74311822201,4305.21769836718,2100.13442821902,4420.88476121683,4204.87969363674,3971.10107604634,4543.43874296501,4250.349710622,3431.9009471772,4460.06878710563,4287.8182834309,4417.49341883708,4191.83806075003,4270.89723162068,4247.28623096237,4445.44241309957,4204.89417688603,2012.7030384949
,71.5,4491.63289622818,4264.78492619043,2097.56140243095,4377.83444024711,4166.342633618,3939.81308539574,4498.00913274211,4212.1678082151,3408.2533465568,4415.93576317185,4249.13516751627,4373.63036943107,4155.14934437758,4231.31258831943,4209.23674251249,4404.68516387368,4167.19929577547,2012.81134319678
,72,4445.86804199602,4224.03113229536,2095.09941169988,4334.11767491147,4127.44115236,3907.70862656573,4452.46288922179,4173.20752555533,3384.0128223555,4371.51610801563,4209.54214164419,4330.24585453062,4117.41304942702,4191.25242368462,4170.20549795337,4362.90569314768,4129.11333283665,2012.77438151317
,72.5,4399.66308196993,4183.52024320428,2092.55433216527,4290.25245436561,4088.72472527826,3874.54901741503,4406.32613187422,4133.88590782795,3359.45611203696,4327.01345155394,4169.90828004361,4287.35400835835,4079.24616145042,4151.1866501878,4130.74242937416,4320.6323816131,4091.03529968869,2012.49026568521
,73,4353.36362111612,4143.17664422015,2090.03333531664,4246.32681619136,4050.34119087753,3840.60633753417,4360.67410354143,4094.52017180505,3334.58202120654,4283.19368265821,4130.05130556283,4244.518361437,4040.67984897819,4111.55108497745,4091.24184281063,4278.40601570565,4053.23151876141,2011.96129496699
