,Temperature,A5,A6,A7,B5,B6,B7,C5,C6,C7,D5,D6,D7,E12,E5,E6,E7,F12,F5,F6,F7,G5,G7,H5,H7
,65,4467.98817040484,4295.78196448983,2603.77747235664,4467.98817040484,4295.78196448983,2085.26516385113,4467.98817040484,4124.66035476034,4175.4983593201,4526.93670554409,4339.34487788696,4305.33332556801,2105.85933900605,4204.51448917748,4628.38690909735,4681.42197320282,3301.63221173643,4438.13579432348,4295.78196448983,4558.62982315986,4467.98817040484,4755.25855469053,4467.98817040484,4689.5874831963
,65.5,4457.06784905655,4271.19112513887,2592.75334242614,4457.06784905655,4271.19112513887,2083.61531817491,4457.06784905655,4108.87103321923,4156.99168280641,4508.93214825866,4316.63994203482,4290.83638435304,2104.44635499163,4184.09256430028,4607.23551050338,4669.88916432806,3280.19055980939,4409.32527523539,4271.19112513887,4547.96901362413,4457.06784905655,4741.33462158324,4457.06784905655,4671.08496817429
,66,4446.14752770825,4246.6002857879,2581.72921249564,4446.14752770825,4246.6002857879,2081.96547249868,4446.14752770825,4093.08171167813,4138.48500629272,4490.92759097323,4293.93500618267,4276.33944313808,2103.03337097721,4163.67063942307,4586.08411190941,4658.3563554533,3258.74890788234,4380.5147561473,4246.6002857879,4537.30820408839,4446.14752770825,4727.41068847594,4446.14752770825,4652.58245315228
,66.5,4435.22720635996,4222.00944643694,2570.70508256513,4435.22720635996,4222.00944643694,2080.31562682246,4435.22720635996,4077.29239013702,4119.97832977903,4472.9230336878,4271.23007033052,4261.84250192311,2101.62038696279,4143.24871454586,4564.93271331545,4646.82354657854,3237.3072559553,4351.70423705921,4222.00944643694,4526.64739455266,4435.22720635996,4713.48675536864,4435.22720635996,4634.07993813027
,67,4424.30688501166,4197.41860708598,2559.68095263463,4424.30688501166,4197.41860708598,2078.66578114624,4424.30688501166,4061.50306859591,4101.47165326534,4454.91847640237,4248.52513447837,4247.34556070815,2100.20740294837,4122.82678966866,4543.78131472148,4635.29073770378,3215.86560402826,4322.89371797112,4197.41860708598,4515.98658501692,4424.30688501166,4699.56282226135,4424.30688501166,4615.57742310826
,67.5,4413.38656366331,4172.82776773506,2548.65682270408,4413.38656366331,4172.82776773506,2077.01593547002,4413.38656366331,4045.71374705483,4082.96497675155,4436.91391911686,4225.82019862627,4232.84861949315,2098.79441893391,4102.40486479136,4522.62991612749,4623.75792882903,3194.42395210123,4294.08319888308,4172.82776773506,4505.32577548116,4413.38656366331,4685.63888915403,4413.38656366331,4597.07490808621
,68,4402.46624231502,4148.2369283841,2537.63269277357,4402.46624231502,4148.2369283841,2075.3660897938,4402.46624231502,4029.92442551372,4064.45830023787,4418.90936183143,4203.11526277413,4218.35167827819,2097.38143491949,4081.98293991416,4501.47851753352,4612.22511995428,3172.98230017419,4265.27267979498,4148.2369283841,4494.66496594542,4402.46624231502,4671.71495604673,4402.46624231502,4578.5723930642
,68.5,4384.76263421985,4118.3929125304,2525.23586896152,4384.76263421985,4118.3929125304,2073.32765101889,4384.76263421985,4008.99753333871,4042.07932667346,4393.11659543144,4174.95942734487,4198.92247836605,2095.57749931496,4056.51895474482,4474.50491416103,4595.02844671972,3148.93935465624,4232.74468978614,4118.3929125304,4478.66417632997,4384.76263421985,4652.74205564373,4384.76263421985,4556.38623688548
,69,4360.91530665059,4085.10466737976,2511.87890009704,4360.91530665059,4085.10466737976,2071.36040577516,4360.91530665059,3983.26681658065,4016.05738853609,4361.06910401866,4142.91846894773,4175.57582627323,2093.71908991966,4026.82600913205,4443.11946931424,4572.48823094516,3122.84707240025,4198.00165498136,4085.10466737976,4457.72340985682,4360.91530665059,4629.098572707,4360.91530665059,4530.84458292438
,69.5,4331.8807950537,4049.46857626238,2497.99214424979,4331.8807950537,4049.46857626238,2069.35659042093,4331.8807950537,3953.44052978943,3987.07952407267,4324.14772221405,4108.11232629139,4148.76500991151,2091.50315593033,3993.89723500564,4408.29061293185,4545.31715147714,3095.41262080912,4162.18241435549,4049.46857626238,4432.80828423204,4331.8807950537,4601.59281148612,4331.8807950537,4502.54599172774
