,Well,Fluor,Target,Content,Sample,Cq,SQ
,A05,SYBR,RdRp,Unkn,1,37.6094192854237,NaN
,A08,SYBR,H30,Unkn,1,25.9968909585913,NaN
,B01,SYBR,S,Unkn,1,31.0851515085576,NaN
,B02,SYBR,S,Unkn,1,31.2361554293287,NaN
,B05,SYBR,RdRp,Unkn,1,38.7620908641014,NaN
,B08,SYBR,H30,Unkn,1,26.1243006511865,NaN
,C01,SYBR,N,Unkn,1,36.4225850323392,NaN
,D01,SYBR,N,Unkn,1,35.0683624330692,NaN
,A01,SYBR,N,Unkn,2,38.7823372637082,NaN
,A03,SYBR,S,Unkn,2,36.1041711213387,NaN
,B03,SYBR,S,Unkn,2,36.89,NaN
,C05,SYBR,RdRp,Unkn,2,34.2755986703604,NaN
,C08,SYBR,H30,Unkn,2,24.4997679251452,NaN
,D05,SYBR,RdRp,Unkn,2,35.2279009512676,NaN
,D08,SYBR,H30,Unkn,2,24.3957464769814,NaN
,G01,SYBR,N,Unkn,2,35.5229268482337,NaN
,C03,SYBR,S,Unkn,3,39.6920223774828,NaN
,D03,SYBR,S,Unkn,3,37.6777215659949,NaN
,E05,SYBR,RdRp,Unkn,3,NaN,NaN
,E08,SYBR,H30,Unkn,3,25.7592355629565,NaN
,F01,SYBR,N,Unkn,3,34.1773458272892,NaN
,F05,SYBR,RdRp,Unkn,3,NaN,NaN
,F08,SYBR,H30,Unkn,3,26.2400148745953,NaN
,H01,SYBR,N,Unkn,3,32.7475940177891,NaN
,E01,SYBR,N,Unkn,4,39.6671527556727,NaN
,E03,SYBR,S,Unkn,4,35.3678173346251,NaN
,F03,SYBR,S,Unkn,4,34.9302603359232,NaN
,G05,SYBR,RdRp,Unkn,4,33.043604633469,NaN
,G08,SYBR,H30,Unkn,4,25.7269640861123,NaN
,H05,SYBR,RdRp,Unkn,4,35.5579457839796,NaN
,H08,SYBR,H30,Unkn,4,26.0922668838288,NaN
,H10,SYBR,N,Unkn,4,37.6272658878252,NaN
,A09,SYBR,H30,Unkn,5,25.1220966837658,NaN
,B09,SYBR,H30,Unkn,5,25.2328770085245,NaN
,E06,SYBR,RdRp,Unkn,5,34.6627028543398,NaN
,F06,SYBR,RdRp,Unkn,5,34.7827500329272,NaN
,G03,SYBR,S,Unkn,5,31.0918327930881,NaN
,G09,SYBR,N,Unkn,5,29.7977139837766,NaN
,H03,SYBR,S,Unkn,5,31.2600117330446,NaN
,H09,SYBR,N,Unkn,5,35.1404349677063,NaN
,A06,SYBR,RdRp,Unkn,6,NaN,NaN
,A10,SYBR,N,Unkn,6,NaN,NaN
,B06,SYBR,RdRp,Unkn,6,NaN,NaN
,B10,SYBR,N,Unkn,6,NaN,NaN
,C09,SYBR,H30,Unkn,6,25.1305813904099,NaN
,C10,SYBR,S,Unkn,6,31.1851375091614,NaN
,D09,SYBR,H30,Unkn,6,25.3680294455046,NaN
,D10,SYBR,S,Unkn,6,32.3479680221823,NaN
,A11,SYBR,S,Unkn,7,37.8414346688082,NaN
,C06,SYBR,RdRp,Unkn,7,35.6038804881479,NaN
,D06,SYBR,RdRp,Unkn,7,34.9885235491734,NaN
,E09,SYBR,H30,Unkn,7,25.4198676617303,NaN
,E10,SYBR,N,Unkn,7,36.8532874552058,NaN
,F09,SYBR,H30,Unkn,7,25.5540393894905,NaN
,F10,SYBR,N,Unkn,7,35.6689813271469,NaN
,G10,SYBR,S,Unkn,7,29.3514222377125,NaN
,C11,SYBR,H30,Pos Ctrl,H30_negC,32.8470335519356,NaN
,D11,SYBR,H30,Pos Ctrl,H30_negC,34.332089282667,NaN
,G02,SYBR,N,Pos Ctrl,N_10-2,28.8662793666805,NaN
,H02,SYBR,N,Pos Ctrl,N_10-2,29.0444346421921,NaN
,E02,SYBR,N,Pos Ctrl,N_10-3,32.2970945115438,NaN
,F02,SYBR,N,Pos Ctrl,N_10-3,25.8535774695251,NaN
,C02,SYBR,N,Pos Ctrl,N_10-4,34.7645437800083,NaN
,D02,SYBR,N,Pos Ctrl,N_10-4,31.257329871805,NaN
,E11,SYBR,N,Pos Ctrl,N_10-5,32.0456443947313,NaN
,F11,SYBR,N,Pos Ctrl,N_10-5,NaN,NaN
,A12,SYBR,H30,NTC,NTC_H30,NaN,NaN
,B12,SYBR,H30,NTC,NTC_H30,NaN,NaN
,C12,SYBR,N,NTC,NTC_N,NaN,NaN
,D12,SYBR,N,NTC,NTC_N,NaN,NaN
,E12,SYBR,RdRp,NTC,NTC_RdRp,NaN,NaN
,F12,SYBR,RdRp,NTC,NTC_RdRp,NaN,NaN
,G11,SYBR,S,NTC,NTC_S,NaN,NaN
,G12,SYBR,S,NTC,NTC_S,NaN,NaN
,G07,SYBR,RdRp,Pos Ctrl,RdRp_10-2,26.6003078776039,NaN
,H07,SYBR,RdRp,Pos Ctrl,RdRp_10-2,26.6261563406,NaN
,E07,SYBR,RdRp,Pos Ctrl,RdRp_10-3,31.023566431533,NaN
,F07,SYBR,RdRp,Pos Ctrl,RdRp_10-3,30.3904008830738,NaN
,C07,SYBR,RdRp,Pos Ctrl,RdRp_10-4,35.7469604775054,NaN
,D07,SYBR,RdRp,Pos Ctrl,RdRp_10-4,31.579874269485,NaN
,A07,SYBR,RdRp,Pos Ctrl,RdRp_10-5,39.4786635623525,NaN
,B07,SYBR,RdRp,Pos Ctrl,RdRp_10-5,NaN,NaN
,G04,SYBR,S,Pos Ctrl,S_10-2,27.6689813271469,NaN
,H04,SYBR,S,Pos Ctrl,S_10-2,27.28,NaN
,E04,SYBR,S,Pos Ctrl,S_10-3,30.3904008830738,NaN
,F04,SYBR,S,Pos Ctrl,S_10-3,29.87,NaN
,C04,SYBR,S,Pos Ctrl,S_10-4,33.043604633469,NaN
,D04,SYBR,S,Pos Ctrl,S_10-4,32.5,NaN
,A04,SYBR,S,Pos Ctrl,S_10-5,40.10,NaN
,B04,SYBR,S,Pos Ctrl,S_10-5,39.83,NaN
,A02,SYBR,,,,,
,B11,SYBR,,,,,
,G06,SYBR,,,,,
,H06,SYBR,,,,,
,H11,SYBR,,,,,
,H12,SYBR,,,,,
