,Temperature,A11,A3,A4,B1,B2,B3,B4,C10,C3,C4,D10,D3,D4,E3,E4,F3,F4,G10,G12,G3,G4,H3,H4,G11
,65,3537.27170238269,4681.31691130663,2095.02923888309,4522.50864379256,4522.50864379256,4779.9773488753,1982.50946354913,4567.71402101123,5166.66134079983,1988.21097227616,4457.77210141633,5145.67514489936,1981.41371658107,3901.21823784788,2001.14100633448,3901.21823784788,2003.92802936324,3537.27170238269,3957.11270257603,5145.67514489936,2001.73808965121,5227.89985292405,2001.89750294003,1980.75614936577
,65.5,3517.62758114013,4660.44353267836,2095.0470913512,4511.1292004073,4511.1292004073,4752.9983792242,1982.62713745431,4556.98157468666,5151.95432197596,1987.98792169314,4446.96602813834,5126.02519934465,1981.11355305954,3882.10221334096,2000.96436859589,3882.10221334096,2003.86089686789,3517.62758114013,3937.17513824395,5126.02519934465,2001.80523126463,5195.35884454566,2002.16256071735,1980.94501801981
,66,3497.98345989757,4639.57015405008,2095.06494381931,4499.74975702204,4499.74975702204,4726.01940957311,1982.74481135949,4546.24912836209,5137.2473031521,1987.76487111012,4436.15995486035,5106.37525378994,1980.81338953801,3862.98618883405,2000.78773085729,3862.98618883405,2003.79376437253,3497.98345989757,3917.23757391187,5106.37525378994,2001.87237287804,5162.81783616726,2002.42761849467,1981.13388667385
,66.5,3478.339338655,4618.69677542181,2095.08279628741,4488.37031363678,4488.37031363678,4699.04043992202,1982.86248526467,4535.51668203751,5122.54028432823,1987.5418205271,4425.35388158236,5086.72530823523,1980.51322601649,3843.87016432713,2000.61109311869,3843.87016432713,2003.72663187718,3478.339338655,3897.30000957979,5086.72530823523,2001.93951449146,5130.27682778887,2002.692676272,1981.3227553279
,67,3458.69521741244,4597.82339679353,2095.10064875552,4476.99087025152,4476.99087025152,4672.06147027092,1982.98015916985,4524.78423571294,5107.83326550436,1987.31876994408,4414.54780830437,5067.07536268052,1980.21306249496,3824.75413982022,2000.43445538009,3824.75413982022,2003.65949938182,3458.69521741244,3877.36244524771,5067.07536268052,2002.00665610488,5097.73581941047,2002.95773404932,1981.51162398194
,67.5,3439.05109616988,4576.95001816532,2095.11850122363,4465.61142686628,4465.61142686628,4645.08250061991,1983.09783307507,4514.05178938836,5093.12624668056,1987.09571936104,4403.74173502641,5047.42541712589,1979.91289897344,3805.63811531331,2000.25781764146,3805.63811531331,2003.59236688647,3439.05109616988,3857.4248809157,5047.42541712589,2002.07379771825,5065.19481103208,2003.22279182665,1981.70049263598
,68,3419.40697492732,4556.07663953705,2095.13635369173,4454.23198348102,4454.23198348102,4618.10353096881,1983.21550698025,4503.31934306379,5078.41922785669,1986.87266877802,4392.93566174842,5027.77547157118,1979.61273545191,3786.52209080639,2000.08117990286,3786.52209080639,2003.52523439112,3419.40697492732,3837.48731658362,5027.77547157118,2002.14093933167,5032.65380265369,2003.48784960397,1981.88936129002
,68.5,3396.08471153782,4527.5179188462,2094.83685843538,4435.4380693457,4435.4380693457,4584.65576545399,1983.07387752744,4485.66267699142,5053.07847693611,1986.63302951941,4375.79835358537,5000.09125327907,1979.35371586641,3762.19230537832,2000.01889242784,3762.19230537832,2003.35751736814,3396.08471153782,3811.72913810783,5000.09125327907,2002.10961919594,4994.0339712153,2003.48323850302,1981.89829077195
,69,3369.65208858114,4493.06222426139,2094.34314457153,4410.53418140464,4410.53418140464,4546.38862307742,1982.72982175095,4462.1275148933,5019.39176596593,1986.62623528107,4352.88555440838,4965.51342790542,1979.19356325518,3733.84431774502,2000.05799836945,3733.84431774502,2003.17553061433,3369.65208858114,3780.77781758583,4965.51342790542,2002.0878673723,4950.69943293202,2003.27067344067,1981.68116235028
,69.5,3340.7837482179,4454.15387992129,2093.58077746021,4380.6442954765,4380.6442954765,4504.86169720979,1982.28560895479,4433.25342526478,4979.65950705852,1986.68592439311,4324.94738127709,4925.54853071691,1978.95722514356,3702.25553280278,2000.18547415229,3702.25553280278,2002.93952891489,3340.7837482179,3745.26756031933,4925.54853071691,2002.30670868033,4904.16412333927,2003.11339833302,1981.57657792561
