,Temperature,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6,I1,I2,I3,I4,I5,I6,J1,J2,J3,J4,J5,J6,K1,K2,K3,K4,K5,K6,L1,L2,L3,L4,L5,L6,M1,M2,M3,M4,M5,M6,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,P1,P2,P3,P4,P5,P6
,65,4869.61170577,5216.09990609373,2011.37915552045,1996.21171745988,2013.64968276736,2008.01368008779,4698.34612809238,5097.50995320733,2001.21530177345,2001.76212325031,2004.67297901075,2032.5912208021,4494.66292033021,4494.66292033021,2010.15223222598,2025.20883311482,2010.52277971193,2001.95885273541,4494.66292033021,5216.09990609373,2004.38150002912,2025.36762453813,2008.75541061538,2001.84621296396,5216.09990609373,2990.90549135207,2003.73121351507,2000.0976924165,2003.50361894441,1989.22271336961,5097.50995320733,2665.53123571989,1990.34699208267,1999.18157572106,1989.15382529602,2000.84894440349,4494.66292033021,5216.09990609373,1997.03208933512,2010.92642801143,1998.47513092317,3959.57670423237,3375.77191070395,4494.66292033021,2002.22410190503,2009.96157645464,2003.40620313865,3665.64834458617,4494.66292033021,5216.09990609373,2003.15685368469,2014.95892639136,2013.7238245589,3794.62414641735,4494.66292033021,5097.50995320733,2012.30137631793,2005.27989317396,2004.16568196229,2225.68225267401,2893.14005738447,2032.52251175372,2017.38560001105,2014.1130523838,2007.04505273528,4622.90587699396,4237.57040813092,2025.19530923962,2029.84182939292,2009.32271265115,2020.55313569215,4499.77740054821,4223.73126070506,2051.04633784097,2041.37611309906,2029.3803451266,2027.24949535647,5232.67759960123,4867.38744826732,2037.25505970291,2032.74561393079,2033.51474249957,2038.98628630784,4534.1163204558,4494.66292033021,2054.39692936759,2034.11949410324,2041.89585211324,2047.10923219955,5188.51945055629,4494.66292033021,2068.53519156342,2039.17900979767,2041.64905256546,2060.83581539118,5394.9670005533
,65.5,4850.68884799579,5191.22615636962,2011.51756648472,1996.25999473614,2013.59329041821,2007.70523385234,4684.79490280669,5074.92308743279,2001.25182931002,2002.00925303668,2004.65764009341,2032.39430475428,4465.43694759465,4465.43694759465,2010.35658667641,2025.52095380154,2010.86044299197,2002.27365033018,4465.43694759465,5191.22615636962,2004.46651736705,2025.3299301668,2008.67309964003,2001.38752766165,5191.22615636962,2975.08052368186,2003.70717277959,2000.33668360971,2003.58100508091,1989.2981845917,5074.92308743279,2654.0511189915,1990.57477101089,1998.91743521153,1989.15307556854,2000.7189489994,4465.43694759465,5191.22615636962,1996.96639119358,2011.13196114716,1998.38812689333,3940.36041165168,3351.32148303265,4465.43694759465,2001.86230174146,2009.79141820011,2003.22027476648,3643.99584857117,4465.43694759465,5191.22615636962,2003.18187783982,2015.05509559867,2013.63274108324,3774.48639184334,4465.43694759465,5074.92308743279,2012.16883820694,2005.44295458441,2004.00620599949,2221.87263414495,2876.45755508175,2032.61134419281,2017.86872063697,2013.67658258799,2007.22891914826,4610.64984094575,4204.98319952061,2025.42595359467,2029.76152691225,2009.41363511252,2020.60917869197,4490.24795392496,4189.51838916178,2051.2151940197,2041.52060870099,2029.60955312697,2027.45665156792,5216.43734767154,4837.46125665085,2037.62866907848,2032.42251061176,2033.55804168174,2038.76335916481,4511.46794223651,4465.43694759465,2054.53059418666,2034.62871183592,2041.71586311936,2047.01966039479,5171.75194474005,4465.43694759465,2068.51186551626,2039.32471603227,2041.90267836541,2060.76011420705,5366.42036707965
,66,4831.76599022158,5166.35240664551,2011.65597744899,1996.30827201241,2013.53689806905,2007.3967876169,4671.24367752099,5052.33622165824,2001.28835684659,2002.25638282305,2004.64230117606,2032.19738870645,4436.2109748591,4436.2109748591,2010.56094112684,2025.83307448825,2011.198106272,2002.58844792495,4436.2109748591,5166.35240664551,2004.55153470497,2025.29223579547,2008.59078866468,2000.92884235935,5166.35240664551,2959.25555601165,2003.68313204411,2000.57567480292,2003.65839121741,1989.37365581378,5052.33622165824,2642.5710022631,1990.80254993911,1998.653294702,1989.15232584107,2000.5889535953,4436.2109748591,5166.35240664551,1996.90069305204,2011.33749428289,1998.30112286349,3921.14411907099,3326.87105536134,4436.2109748591,2001.5005015779,2009.62125994557,2003.0343463943,3622.34335255616,4436.2109748591,5166.35240664551,2003.20690199494,2015.15126480597,2013.54165760759,3754.34863726934,4436.2109748591,5052.33622165824,2012.03630009594,2005.60601599486,2003.84673003669,2218.06301561589,2859.77505277903,2032.7001766319,2018.35184126289,2013.24011279218,2007.41278556124,4598.39380489754,4172.39599091029,2025.65659794971,2029.68122443158,2009.5045575739,2020.66522169178,4480.71850730172,4155.3055176185,2051.38405019843,2041.66510430292,2029.83876112734,2027.66380777936,5200.19709574186,4807.53506503439,2038.00227845405,2032.09940729272,2033.6013408639,2038.54043202179,4488.81956401722,4436.2109748591,2054.66425900573,2035.1379295686,2041.53587412549,2046.93008859003,5154.98443892382,4436.2109748591,2068.48853946911,2039.47042226688,2042.15630416535,2060.68441302292,5337.87373360599
,66.5,4812.84313244737,5141.47865692139,2011.79438841325,1996.35654928867,2013.4805057199,2007.08834138145,4657.69245223529,5029.74935588369,2001.32488438316,2002.50351260942,2004.62696225871,2032.00047265863,4406.98500212354,4406.98500212354,2010.76529557727,2026.14519517497,2011.53576955203,2002.90324551973,4406.98500212354,5141.47865692139,2004.6365520429,2025.25454142415,2008.50847768933,2000.47015705704,5141.47865692139,2943.43058834144,2003.65909130863,2000.81466599613,2003.73577735391,1989.44912703587,5029.74935588369,2631.09088553471,1991.03032886733,1998.38915419247,1989.15157611359,2000.45895819121,4406.98500212354,5141.47865692139,1996.8349949105,2011.54302741862,1998.21411883365,3901.9278264903,3302.42062769004,4406.98500212354,2001.13870141434,2009.45110169104,2002.84841802213,3600.69085654116,4406.98500212354,5141.47865692139,2003.23192615006,2015.24743401327,2013.45057413193,3734.21088269534,4406.98500212354,5029.74935588369,2011.90376198495,2005.76907740531,2003.68725407389,2214.25339708683,2843.09255047631,2032.78900907099,2018.83496188881,2012.80364299637,2007.59665197422,4586.13776884932,4139.80878229998,2025.88724230476,2029.60092195091,2009.59548003527,2020.72126469159,4471.18906067847,4121.09264607522,2051.55290637716,2041.80959990485,2030.0679691277,2027.8709639908,5183.95684381217,4777.60887341792,2038.37588782962,2031.77630397369,2033.64464004607,2038.31750487876,4466.17118579792,4406.98500212354,2054.7979238248,2035.64714730128,2041.35588513162,2046.84051678526,5138.21693310758,4406.98500212354,2068.46521342196,2039.61612850148,2042.4099299653,2060.6087118388,5309.32710013233
,67,4793.92027467316,5116.60490719728,2011.93279937752,1996.40482656493,2013.42411337075,2006.779895146,4644.14122694959,5007.16249010914,2001.36141191973,2002.7506423958,2004.61162334136,2031.8035566108,4377.75902938798,4377.75902938798,2010.9696500277,2026.45731586168,2011.87343283206,2003.2180431145,4377.75902938798,5116.60490719728,2004.72156938082,2025.21684705282,2008.42616671398,2000.01147175473,5116.60490719728,2927.60562067123,2003.63505057316,2001.05365718934,2003.81316349041,1989.52459825795,5007.16249010914,2619.61076880631,1991.25810779555,1998.12501368294,1989.15082638612,2000.32896278711,4377.75902938798,5116.60490719728,1996.76929676896,2011.74856055435,1998.12711480381,3882.71153390961,3277.97020001873,4377.75902938798,2000.77690125078,2009.2809434365,2002.66248964996,3579.03836052615,4377.75902938798,5116.60490719728,2003.25695030518,2015.34360322057,2013.35949065628,3714.07312812134,4377.75902938798,5007.16249010914,2011.77122387396,2005.93213881576,2003.52777811108,2210.44377855778,2826.41004817359,2032.87784151008,2019.31808251474,2012.36717320056,2007.7805183872,4573.88173280111,4107.22157368967,2026.11788665981,2029.52061947024,2009.68640249664,2020.77730769141,4461.65961405522,4086.87977453194,2051.72176255589,2041.95409550678,2030.29717712807,2028.07812020225,5167.71659188249,4747.68268180145,2038.74949720519,2031.45320065465,2033.68793922824,2038.09457773573,4443.52280757863,4377.75902938798,2054.93158864387,2036.15636503396,2041.17589613774,2046.7509449805,5121.44942729134,4377.75902938798,2068.4418873748,2039.76183473608,2042.66355576524,2060.53301065467,5280.78046665868
,67.5,4774.9974168989,5091.73115747308,2012.07121034178,1996.45310384117,2013.36772102162,2006.47144891058,4630.59000166388,4984.57562433463,2001.39793945629,2002.99777218212,2004.59628442405,2031.606640563,4348.53305665234,4348.53305665234,2011.17400447816,2026.76943654838,2012.21109611208,2003.53284070933,4348.53305665234,5091.73115747308,2004.80658671876,2025.17915268148,2008.34385573865,1999.55278645242,5091.73115747308,2911.78065300099,2003.61100983765,2001.29264838255,2003.89054962692,1989.60006948003,4984.57562433463,2608.1306520779,1991.48588672378,1997.86087317343,1989.15007665865,2000.198967383,4348.53305665234,5091.73115747308,1996.70359862739,2011.95409369009,1998.04011077397,3863.49524132892,3253.51977234744,4348.53305665234,2000.41510108721,2009.11078518193,2002.47656127781,3557.38586451116,4348.53305665234,5091.73115747308,2003.28197446031,2015.4397724279,2013.26840718065,3693.93537354737,4348.53305665234,4984.57562433463,2011.63868576296,2006.09520022624,2003.3683021483,2206.63416002871,2809.72754587089,2032.96667394914,2019.80120314062,2011.93070340471,2007.96438480022,4561.6256967529,4074.6343650794,2026.34853101483,2029.44031698959,2009.77732495804,2020.83335069121,4452.13016743192,4052.66690298861,2051.89061873462,2042.09859110873,2030.52638512847,2028.28527641369,5151.47633995277,4717.75649018492,2039.12310658078,2031.13009733561,2033.73123841043,2037.87165059273,4420.87442935935,4348.53305665234,2055.06525346295,2036.66558276664,2040.99590714387,2046.66137317574,5104.68192147508,4348.53305665234,2068.41856132769,2039.90754097068,2042.91718156519,2060.45730947055,5252.233833185
,68,4756.07455912469,5066.85740774897,2012.20962130604,1996.50138111743,2013.31132867247,2006.16300267514,4617.03877637818,4961.98875856008,2001.43446699286,2003.24490196849,2004.5809455067,2031.40972451518,4319.30708391678,4319.30708391678,2011.37835892859,2027.08155723509,2012.54875939212,2003.8476383041,4319.30708391678,5066.85740774897,2004.89160405668,2025.14145831015,2008.2615447633,1999.09410115012,5066.85740774897,2895.95568533078,2003.58696910217,2001.53163957576,2003.96793576342,1989.67554070211,4961.98875856008,2596.65053534951,1991.713665652,1997.5967326639,1989.14932693118,2000.06897197891,4319.30708391678,5066.85740774897,1996.63790048585,2012.15962682582,1997.95310674413,3844.27894874823,3229.06934467614,4319.30708391678,2000.05330092365,2008.9406269274,2002.29063290563,3535.73336849615,4319.30708391678,5066.85740774897,2003.30699861543,2015.5359416352,2013.17732370499,3673.79761897336,4319.30708391678,4961.98875856008,2011.50614765196,2006.25826163669,2003.2088261855,2202.82454149965,2793.04504356818,2033.05550638823,2020.28432376654,2011.4942336089,2008.1482512132,4549.36966070469,4042.04715646909,2026.57917536988,2029.36001450892,2009.86824741942,2020.88939369102,4442.60072080867,4018.45403144534,2052.05947491335,2042.24308671065,2030.75559312884,2028.49243262513,5135.23608802309,4687.83029856846,2039.49671595635,2030.80699401658,2033.7745375926,2037.6487234497,4398.22605114006,4319.30708391678,2055.19891828202,2037.17480049932,2040.81591814999,2046.57180137098,5087.91441565884,4319.30708391678,2068.39523528053,2040.05324720528,2043.17080736514,2060.38160828642,5223.68719971134
,68.5,4730.45617317263,5033.70249926036,2012.03460650066,1996.60911591714,2013.45311369654,2005.87513732176,4596.72003499258,4931.07895869692,2001.39733427767,2003.37081092308,2004.57233148038,2031.20730189441,4284.41455865691,4284.41455865691,2011.59021662953,2027.18649380349,2012.67289123426,2004.16995037152,4284.41455865691,5033.70249926036,2004.93504436985,2025.19859570845,2008.19191292074,1998.61005211973,5033.70249926036,2877.79438610572,2003.55046820105,2001.52704554635,2004.11538287292,1989.75775053556,4931.07895869692,2583.79454998887,1991.85130874491,1997.4125718605,1989.19614409355,2000.02150946987,4284.41455865691,5033.70249926036,1996.75244983807,2012.05628660631,1997.86151780928,3820.75304891278,3201.71563038981,4284.41455865691,1999.76858948637,2008.90215145903,2002.15193743435,3510.27741116783,4284.41455865691,5033.70249926036,2003.42751322387,2015.72416517578,2013.29727428898,3649.00869923152,4284.41455865691,4931.07895869692,2011.21157740833,2006.03409454083,2003.04880870059,2198.35161714304,2774.58907666216,2033.20955586657,2020.75542848071,2011.33404428681,2008.05342539015,4531.02676226467,4004.36706677127,2026.86120465589,2029.14010033636,2009.75216432191,2021.09735653786,4426.09828040683,3979.59672941016,2052.13723999714,2042.30901687845,2030.76362049718,2028.85350227895,5111.67220510058,4651.82640935121,2039.91699550141,2030.70004579956,2034.04204727634,2037.31452062918,4369.38934185218,4284.41455865691,2055.27157752404,2037.45266623959,2040.43785870393,2046.35625062547,5063.75296858663,4284.41455865691,2068.59989613276,2039.95913175495,2043.25324312027,2060.15626602085,5188.97984341802
,69,4698.96717572532,4993.49072138454,2011.71964959703,1997.01882339212,2013.88159186779,2005.79720869521,4570.33902046185,4893.2054148765,2001.29163345864,2003.35070523961,2004.47954979803,2030.98987859908,4245.29917323933,4245.29917323933,2011.67232157784,2027.25055691047,2012.88163879834,2004.34455273885,4245.29917323933,4993.49072138454,2004.90989916442,2025.4075172337,2008.15016116173,1998.10459073535,4993.49072138454,2857.78082866039,2003.5111944831,2001.57136400291,2004.06344026251,1989.88209800723,4893.2054148765,2569.71414680023,1991.91705573808,1997.03193681561,1989.41670376366,1999.75153810706,4245.29917323933,4993.49072138454,1996.68284847586,2011.82013492382,1997.75632413466,3793.56926502645,3172.8499981034,4245.29917323933,1999.4657668156,2009.01327170835,2001.97050076133,3481.6382859412,4245.29917323933,4993.49072138454,2003.8061650874,2015.62109426282,2013.37983725025,3620.2256054709,4245.29917323933,4893.2054148765,2010.93933223494,2005.82946596323,2002.85389127785,2193.31400054812,2755.438060304,2033.38245427929,2021.27248389983,2011.03408181663,2007.8232045271,4506.73538242293,3963.49252913819,2027.0436909225,2028.68450198431,2009.48747082235,2020.82462323934,4403.40457671849,3937.92626091894,2052.23810581098,2042.24923829665,2030.65823439736,2028.9610358449,5081.12536586306,4610.94975928666,2040.22196436209,2030.71962387743,2034.10461941447,2036.94056436253,4334.450192033,4245.29917323933,2054.94527589836,2037.35555168319,2040.09177072278,2046.32789139638,5032.61040027803,4245.29917323933,2068.55194398904,2039.91060909005,2043.38020964324,2060.19570720293,5148.84302894581
,69.5,4662.65263118774,4947.6635137025,2011.30376025643,1997.29165036299,2014.21184886445,2005.80626213912,4538.21054309322,4850.66043482803,2001.2159423192,2003.29769729751,2004.37607655628,2030.623332499,4203.3912058885,4203.3912058885,2011.71781106172,2027.04084195068,2012.7874403258,2004.43612331989,4203.3912058885,4947.6635137025,2004.6365444024,2025.63634063853,2008.20245750383,1997.51525616761,4947.6635137025,2836.28861610038,2003.17475002176,2001.26559641727,2003.69440241737,1989.77866835347,4850.66043482803,2554.57212321869,1991.93641938534,1996.84194960907,1989.65996455636,1999.6433005165,4203.3912058885,4947.6635137025,1996.63919772077,2011.58648895596,1997.71264973825,3763.62353065835,3143.09254177758,4203.3912058885,1999.22935337312,2008.95219686838,2001.82773640212,3450.24866033405,4203.3912058885,4947.6635137025,2004.03142679644,2015.38836543071,2013.5122494049,3588.79999953498,4203.3912058885,4850.66043482803,2010.69723186373,2005.66412905729,2002.93960987121,2188.14394958547,2735.8681865126,2033.56848292599,2021.63356609418,2010.60207527086,2007.99991446224,4477.51479743734,3920.588451878,2027.06579920748,2028.02629531201,2009.0763559469,2020.54118450951,4375.45547317639,3894.8684100933,2052.21219087903,2041.99266785353,2030.61349210274,2028.92273325798,5044.87393055953,4567.20565486038,2040.35221213121,2030.68584844395,2033.9934347011,2036.49477406196,4294.22535454862,4203.3912058885,2054.42412111719,2037.22683578332,2040.187489457,2046.40328562054,4995.85457821732,4203.3912058885,2068.51200138832,2039.93507839661,2043.26253871803,2060.1992265316,5104.65149506114
