ID,Target,Well
1,H30,A19
1,H30,B19
1,N,A1
1,N,B1
1,RdRp,A13
1,RdRp,B13
2,H30,C19
2,H30,D19
2,N,C1
2,N,D1
2,RdRp,C13
2,RdRp,D13
2,S,C7
2,S,D7
3,H30,E19
3,H30,F19
3,N,E1
3,N,F1
3,RdRp,E13
3,RdRp,F13
3,S,E7
3,S,F7
4,H30,G19
4,H30,H19
4,N,G1
4,RdRp,G13
4,RdRp,H13
5,H30,I19
5,H30,J19
5,N,I1
5,N,J1
5,RdRp,I13
5,RdRp,J13
5,S,I7
6,H30,K19
6,H30,L19
7,H30,M19
7,H30,N19
8,H30,O19
8,H30,P19
8,N,O1
8,N,P1
8,RdRp,O13
8,RdRp,P13
8,S,O7
8,S,P7
9,H30,A20
9,H30,B20
9,N,A2
9,N,B2
9,RdRp,A14
9,RdRp,B14
9,S,A8
9,S,B8
10,H30,C20
10,H30,D20
10,N,C2
10,N,D2
10,RdRp,C14
10,RdRp,D14
10,S,C8
10,S,D8
11,H30,E20
11,H30,F20
11,RdRp,E14
11,RdRp,F14
12,H30,G20
12,H30,H20
12,N,G2
12,N,H2
12,RdRp,G14
12,RdRp,H14
12,S,G8
12,S,H8
13,H30,I20
13,H30,J20
13,N,I2
13,N,J2
13,RdRp,I14
13,RdRp,J14
13,S,I8
13,S,J8
